"data.race","data.income"
"2259","white","$15000 - 19999"
"2260","white","$15000 - 19999"
"2262","white","$20000 - 24999"
"2263","white","$15000 - 19999"
"2264","white","$20000 - 24999"
"2265","white","$15000 - 19999"
"2267","white","$20000 - 24999"
"2270","white","$10000 - 14999"
"2271","white","$10000 - 14999"
"2272","white","$15000 - 19999"
"2273","white","$7000 to 7999"
"2274","white","$25000 or more"
"2275","white","$25000 or more"
"2276","white","$25000 or more"
"2277","white","$25000 or more"
"2278","white","$25000 or more"
"2279","white","$10000 - 14999"
"2280","white","$1000 to 2999"
"2281","black","$6000 to 6999"
"2282","black","$7000 to 7999"
"2283","black","$7000 to 7999"
"2284","white","$15000 - 19999"
"2285","white","$10000 - 14999"
"2286","white","$15000 - 19999"
"2287","white","$20000 - 24999"
"2288","white","$25000 or more"
"2289","white","$10000 - 14999"
"2290","white","$7000 to 7999"
"2291","white","$25000 or more"
"2292","white","$15000 - 19999"
"2293","white","$20000 - 24999"
"2294","white","$7000 to 7999"
"2295","white","$10000 - 14999"
"2296","black","$7000 to 7999"
"2297","white","$8000 to 9999"
"2298","white","$8000 to 9999"
"2299","white","$8000 to 9999"
"2300","white","$10000 - 14999"
"2301","white","$10000 - 14999"
"2302","white","$1000 to 2999"
"2303","white","$15000 - 19999"
"2304","white","$1000 to 2999"
"2305","white","$25000 or more"
"2306","white","$1000 to 2999"
"2307","white","$1000 to 2999"
"2308","white","$1000 to 2999"
"2309","other","$8000 to 9999"
"2310","white","$5000 to 5999"
"2311","white","$10000 - 14999"
"2312","other","$4000 to 4999"
"2313","other","$5000 to 5999"
"2315","white","$7000 to 7999"
"2316","white","$20000 - 24999"
"2317","white","$15000 - 19999"
"2318","white","$10000 - 14999"
"2319","white","$8000 to 9999"
"2320","white","$10000 - 14999"
"2321","white","$6000 to 6999"
"2322","white","$4000 to 4999"
"2323","white","$7000 to 7999"
"2324","white","$10000 - 14999"
"2325","white","$7000 to 7999"
"2326","white","$3000 to 3999"
"2327","white","$10000 - 14999"
"2328","white","$10000 - 14999"
"2329","white","$15000 - 19999"
"2330","white","$10000 - 14999"
"2331","white","$10000 - 14999"
"2333","white","lt $1000"
"2334","black","$1000 to 2999"
"2335","black","$1000 to 2999"
"2336","white","$3000 to 3999"
"2337","white","$20000 - 24999"
"2338","black","$15000 - 19999"
"2339","white","$20000 - 24999"
"2340","white","$7000 to 7999"
"2341","white","$25000 or more"
"2342","white","$15000 - 19999"
"2343","black","$8000 to 9999"
"2344","black","$6000 to 6999"
"2345","black","$5000 to 5999"
